Observer,FlankinDirection,Eccen_X,Eccen_Y,RadialEccentricity,CrowdingDistance,TargetDeg,Font,Meridian,Task,Session
S1,radial,5,0,5,0.591501482813918,0.422501059152799,Sloan,Right,crowding,1
S1,radial,-5,-0,5,0.895702245403934,0.639787318145667,Sloan,Left,crowding,1
S1,radial,0,5,5,2.28150571942511,1.62964694244651,Sloan,Upper,crowding,1
S1,radial,-0,-5,5,2.38290597362179,1.70207569544413,Sloan,Lower,crowding,1
S1,radial,10,0,10,1.85900466027232,1.32786047162308,Sloan,Right,crowding,1
S1,radial,-10,-0,10,2.72090682094403,1.94350487210288,Sloan,Left,crowding,1
S1,radial,0,10,10,5.42491359952194,3.87493828537281,Sloan,Upper,crowding,1
S1,radial,-0,-10,10,3.48140872741906,2.48672051958505,Sloan,Lower,crowding,1
S1,radial,5,0,5,1.70690427897731,1.21921734212665,Pelli,Right,crowding,1
S1,radial,-5,-0,5,1.35200338928896,0.965716706634969,Pelli,Left,crowding,1
S1,tangential,5,0,5,0.676001694644478,0.494929812150421,Sloan,Right,crowding,1
S1,tangential,-5,-0,5,0.659101652278366,0.482858353317484,Sloan,Left,crowding,1
S1,horizontal,0,0,0,0.0710211829608883,0.0531451028959025,Pelli,fovea,crowding,1
S1,horizontal,0,0,0,0.125132560454898,0.0895779895003612,Sloan,fovea,acuity,1
S1,radial,5,0,5,1.08160271143117,0.772573365307975,Pelli,Right,crowding,2
S1,radial,-5,-0,5,1.79140449080787,1.27957463629133,Pelli,Left,crowding,2
S1,radial,10,0,10,1.85900466027232,1.32786047162308,Sloan,Right,crowding,2
S1,radial,-10,-0,10,2.72090682094403,1.94350487210288,Sloan,Left,crowding,2
S1,radial,0,10,10,5.0869127521997,3.63350910871407,Sloan,Upper,crowding,2
S1,radial,-0,-10,10,3.43070860032073,2.45050614308623,Sloan,Lower,crowding,2
S1,radial,5,0,5,0.980202457234494,0.700144612310353,Sloan,Right,crowding,2
S1,radial,-5,-0,5,0.77740194884115,0.555287106315107,Sloan,Left,crowding,2
S1,radial,0,5,5,2.55190639728291,1.8227902837735,Sloan,Upper,crowding,2
S1,radial,-0,-5,5,1.23370309272617,0.881216494804409,Sloan,Lower,crowding,2
S1,horizontal,0,0,0,0.10822275498802,0.0807649288380912,Sloan,fovea,acuity,2
S1,horizontal,0,0,0,0.0777851051476396,0.0555607893911712,Pelli,fovea,crowding,2
S1,tangential,5,0,5,0.794301991207262,0.579430023980981,Sloan,Right,crowding,2
S1,tangential,-5,-0,5,0.845002118305598,0.603572941646856,Sloan,Left,crowding,2
S2,radial,5,0,5,0.490101228617247,0.350072306155176,Sloan,Right,crowding,1
S2,radial,-5,-0,5,1.31820330455673,0.941573788969095,Sloan,Left,crowding,1
S2,radial,0,5,5,1.50410377058396,1.0743598361314,Sloan,Upper,crowding,1
S2,radial,-0,-5,5,1.06470266906505,0.760501906475038,Sloan,Lower,crowding,1
S2,radial,10,0,10,1.23370309272617,0.881216494804409,Sloan,Right,crowding,1
S2,radial,-10,-0,10,5.57701398081695,3.98358141486925,Sloan,Left,crowding,1
S2,radial,0,10,10,4.07291021023298,2.90922157873784,Sloan,Upper,crowding,1
S2,radial,-0,-10,10,3.22790809192738,2.30564863709099,Sloan,Lower,crowding,1
S2,radial,5,0,5,1.33510334692284,0.953645247802032,Pelli,Right,crowding,1
S2,radial,-5,-0,5,2.14630538049622,1.53307527178301,Pelli,Left,crowding,1
S2,tangential,5,0,5,0.642201609912254,0.470786894484547,Sloan,Right,crowding,1
S2,tangential,-5,-0,5,1.2675031774584,0.91743087130322,Sloan,Left,crowding,1
S2,horizontal,0,0,0,0.0541113774940101,0.0386509839242931,Pelli,fovea,crowding,1
