"","X","participant","ProlificParticipantID","font","crowdingDistance_Left","crowdingDistance_Right","questSD_Left","questSD_Right","CMFRT","CMMNT","readingSpeedMeanWPM","questMeanAtEndOfTrialsLoop","rsvpQuestSD","rsvpReadingSpeed","BTY","CMFRTOR","readingCorpus","readingPC","STAB_1","STAB_2","STAB_3","COMP_1","COMP_2","COMP_3","FONTS","AGE","ART","MUSIC","USE","SIMP","DYN_1","DYN_2","DYN_3","CLIKE_1","CLIKE_2","CLIKE_3","ABT","SEX","ARTIST","MUSICIAN","BC","MIN","DLIKE_1","DLIKE_2","DLIKE_3","CBEAUT_1","CBEAUT_2","CBEAUT_3","PROF","ARTYR","MUSICYR","CHALL","BEH","DBEUT_1","DBEUT_2","DBEUT_3","EDU","GRAPH","READ","ARTCHALL","COMP","ETHN","ABST","LATIN","PRED","SYM","MOD","RAD","SONG","PROB","crowdingBlock","rsvpBlock","readingBlock","cores","deviceBrowser","deviceBrowserVersion","deviceType","deviceSystem","screenSize","timestamp","fontGroup","count_Left","count_Right","logLRCrowdingDistance","logCrowdingDistance_Right","logCrowdingDistance_Left","logBouma","condition","Subcategory","perimetricComplexity","perimetricComplexityMin","perimetricComplexityMax","perimetricComplexitySD","perimetricComplexityWCapitals","NadineCategory","HannesCategory","LauraCategory","Category","Category2","xHeightToNominal","spacingToNominal"
"1",991,"FreeNeonTurkey086","5563984afdf99b672b5749b6","Omfug",4.082324115,3.374726056,0.047586395,0.046898908,1,"Painful",NA,-1.02563856,0.036509697,636.487399512775,2,2,"Beaver.txt",0.4,"5","4","2",5,7,"6","Yes","43",7,7,4,4,"5","3",5,4,6,"5","I guess it is seeing if I like some fonts more than others","Male","Yes","Yes",4,4,"5","4","2","4",6,"4","Health","4","1",3,5,"5","4","2","Graduate degree",7,7,4,5,"Prefer not to say",7,3,"I like old things",5,7,2,"Siegfried's Funeral March by Wagner and Gymnopedie by Satie","No",5,9,19,16,"Chrome","131.0.0.0","desktop","Windows 10","1920,1080",2025-01-14 09:45:36.782,"A",35,35,0.569573003552143,0.52823852466446,0.610907482439826,-0.129397000783876,"test","",10.177,7.177,12.9922,1.4949,9.8467,"Display","Display","Display","Display","Display",0.8,0.6
"2",992,"FreeNeonTurkey086","5563984afdf99b672b5749b6","TimesNewRoman",1.465894312,0.491059951,0.050359928,0.046749892,3,"Like reading a newspaper",NA,-0.887037449,0.034653393,462.581967934972,4,6,"Winter.txt",0.4,"5","4","2",5,7,"6","Yes","43",7,7,4,4,"5","3",5,4,6,"5","I guess it is seeing if I like some fonts more than others","Male","Yes","Yes",4,4,"5","4","2","4",6,"4","Health","4","1",3,5,"5","4","2","Graduate degree",7,7,4,5,"Prefer not to say",7,3,"I like old things",5,7,2,"Siegfried's Funeral March by Wagner and Gymnopedie by Satie","No",5,9,19,16,"Chrome","131.0.0.0","desktop","Windows 10","1920,1080",2025-01-14 09:45:36.782,"A",35,35,-0.0713814120808901,-0.308865483846288,0.166102659684508,-0.770351416416909,"test","Serif",14.878,11.78,20.9794,2.4249,19.0667,"Text","Text","Text","Text","Serif",0.4,0.38
"3",993,"FreeNeonTurkey086","5563984afdf99b672b5749b6","Zapfino",NA,6.500075453,0.455657842,0.046331388,6,"It is like reading an old book",607.759534522155,-0.790538221,0.032520973,370.415772918532,5,4,"Desert.txt",0.6,"5","4","2",5,7,"6","Yes","43",7,7,4,4,"5","3",5,4,6,"5","I guess it is seeing if I like some fonts more than others","Male","Yes","Yes",4,4,"5","4","2","4",6,"4","Health","4","1",3,5,"5","4","2","Graduate degree",7,7,4,5,"Prefer not to say",7,3,"I like old things",5,7,2,"Siegfried's Funeral March by Wagner and Gymnopedie by Satie","No",5,9,19,16,"Chrome","131.0.0.0","desktop","Windows 10","1920,1080",2025-01-14 09:45:36.782,"A",35,35,NA,0.812918397970756,NA,NA,"test","Script",58.6104,24.6088,151.4644,29.8879,48.6664,"Script","Script","Script","Script","Script",0.53,0.26
"4",874,"FancyForestDog182","5563984afdf99b672b5749b6","Omfug",5.930935413,5.621105094,0.046267093,0.046174103,4,"Like reading a comic book",NA,-0.643754694,0.035641334,264.183655002007,3,1,"Islands.txt",0,"6","2","3",4,5,"6","Yes","43",7,7,4,3,"6","4",5,3,5,"4","I guess you're seeing if I like the fonts","Male","Yes","Yes",3,3,"4","5","5","3",3,"4","Health","4","1",3,3,"6","5","4","Graduate degree",7,7,3,3,"Prefer not to say",7,3,"I like old-fashioned things",4,6,2,"Siegfried's Funeral March by Wagner and Gymnopedie by Satie","No",23,10,14,16,"Chrome","131.0.0.0","desktop","Windows 10","1920,1080",2025-01-14 22:34:03.388,"A",35,35,0.761472449868065,0.749821705079028,0.773123194657103,0.0625024455320465,"retest","",10.177,7.177,12.9922,1.4949,9.8467,"Display","Display","Display","Display","Display",0.8,0.6
"5",875,"FancyForestDog182","5563984afdf99b672b5749b6","TimesNewRoman",3.468550979,0.450323534,0.052234849,0.048226812,3,"Like reading a newspaper like the WSJ",509.225562016201,-0.849137413,0.033334393,423.924643269907,5,5,"Spiders.txt",1,"6","2","3",4,5,"6","Yes","43",7,7,4,3,"6","4",5,3,5,"4","I guess you're seeing if I like the fonts","Male","Yes","Yes",3,3,"4","5","5","3",3,"4","Health","4","1",3,3,"6","5","4","Graduate degree",7,7,3,3,"Prefer not to say",7,3,"I like old-fashioned things",4,6,2,"Siegfried's Funeral March by Wagner and Gymnopedie by Satie","No",23,10,14,16,"Chrome","131.0.0.0","desktop","Windows 10","1920,1080",2025-01-14 22:34:03.388,"A",35,35,0.0968363628982842,-0.346475356125531,0.540148081922099,-0.602133641437735,"retest","Serif",14.878,11.78,20.9794,2.4249,19.0667,"Text","Text","Text","Text","Serif",0.4,0.38
"6",876,"FancyForestDog182","5563984afdf99b672b5749b6","Zapfino",NA,7.601548595,0.233392096,0.045960448,5,"Like reading a history book",NA,-0.525963832,0.032327377,201.42579312782,7,4,"Colours.txt",0.4,"6","2","3",4,5,"6","Yes","43",7,7,4,3,"6","4",5,3,5,"4","I guess you're seeing if I like the fonts","Male","Yes","Yes",3,3,"4","5","5","3",3,"4","Health","4","1",3,3,"6","5","4","Graduate degree",7,7,3,3,"Prefer not to say",7,3,"I like old-fashioned things",4,6,2,"Siegfried's Funeral March by Wagner and Gymnopedie by Satie","No",23,10,14,16,"Chrome","131.0.0.0","desktop","Windows 10","1920,1080",2025-01-14 22:34:03.388,"A",35,35,NA,0.880902076195614,NA,NA,"retest","Script",58.6104,24.6088,151.4644,29.8879,48.6664,"Script","Script","Script","Script","Script",0.53,0.26
"7",1693,"NiceRedBanana950","55b2d3f2fdf99b525bc839aa","Omfug",9.887723348,2.344893096,0.047648235,0.05131489,2,"Very hard to read due to the shape of the font.",351.627519439842,-1.081182946,0.034135845,723.326200299798,6,3,"Beaver.txt",0.8,"3","4","4",6,7,"7","Yes","37",3,6,7,7,"3","3",3,6,7,"7","To see how people view different fonts and how easy each is to understand.","Male","No","No",7,7,"3","3","3","6",7,"7","computer support specialist","0","0",5,7,"2","3","3","Bachelor's degree (4-year)",1,6,4,5,"Hispanic or Latino",3,1,"no",6,4,5,"Happy by Pharrell and Santeria by Sublime","no",41,24,20,24,"Chrome","131.0.0.0","desktop","Windows 10","2560,1440",2025-01-14 12:59:55.813,"A",35,35,0.68260967729881,0.370123047957028,0.995096306640591,-0.016360327037209,"test","",10.177,7.177,12.9922,1.4949,9.8467,"Display","Display","Display","Display","Display",0.8,0.6
"8",1694,"NiceRedBanana950","55b2d3f2fdf99b525bc839aa","TimesNewRoman",12.5724398,3.049228994,0.044619579,0.046406356,7,"Very easy to understand and read.",NA,-1.138564441,0.037014759,825.4973651086,5,6,"Winter.txt",0,"3","4","4",6,7,"7","Yes","37",3,6,7,7,"3","3",3,6,7,"7","To see how people view different fonts and how easy each is to understand.","Male","No","No",7,7,"3","3","3","6",7,"7","computer support specialist","0","0",5,7,"2","3","3","Bachelor's degree (4-year)",1,6,4,5,"Hispanic or Latino",3,1,"no",6,4,5,"Happy by Pharrell and Santeria by Sublime","no",41,24,20,24,"Chrome","131.0.0.0","desktop","Windows 10","2560,1440",2025-01-14 12:59:55.813,"A",35,35,0.791804802725709,0.48419004066455,1.09941956478687,0.0928347983896901,"test","Serif",14.878,11.78,20.9794,2.4249,19.0667,"Text","Text","Text","Text","Serif",0.4,0.38
"9",1695,"NiceRedBanana950","55b2d3f2fdf99b525bc839aa","Zapfino",NA,8.275635887,0.479271101,0.049402603,3,"Nice to look at, but hard to understand.",440.230637904932,-0.6884389,0.032903052,292.812862609438,7,2,"Desert.txt",0.6,"3","4","4",6,7,"7","Yes","37",3,6,7,7,"3","3",3,6,7,"7","To see how people view different fonts and how easy each is to understand.","Male","No","No",7,7,"3","3","3","6",7,"7","computer support specialist","0","0",5,7,"2","3","3","Bachelor's degree (4-year)",1,6,4,5,"Hispanic or Latino",3,1,"no",6,4,5,"Happy by Pharrell and Santeria by Sublime","no",41,24,20,24,"Chrome","131.0.0.0","desktop","Windows 10","2560,1440",2025-01-14 12:59:55.813,"A",35,35,NA,0.917801374242923,NA,NA,"test","Script",58.6104,24.6088,151.4644,29.8879,48.6664,"Script","Script","Script","Script","Script",0.53,0.26
"10",2026,"SunnyForestRat666","55b2d3f2fdf99b525bc839aa","Omfug",4.987928911,1.067655285,0.047262831,0.049819591,4,"A little difficult because the font was bigger and curvy than usual.",283.537697547111,-1.008999907,0.032935574,612.56355904998,6,7,"Islands.txt",0.6,"5","4","5",6,6,"7","Yes","37",4,6,7,7,"3","4",4,6,5,"7","To see how people prefer some fonts over others","Male","No","No",6,7,"3","3","4","6",5,"7","computer support specialist","0","0",5,7,"3","4","3","Bachelor's degree (4-year)",1,6,4,7,"Hispanic or Latino",4,1,"no",6,4,6,"Happy by Pharrell, Santeria by Sublime.","no",17,37,25,24,"Chrome","131.0.0.0","desktop","Windows 10","2560,1440",2025-01-14 13:44:58.332,"A",35,35,0.363175654698678,0.0284310542020033,0.697920255195352,-0.335794349637341,"retest","",10.177,7.177,12.9922,1.4949,9.8467,"Display","Display","Display","Display","Display",0.8,0.6
