prolificID,conditionName,taskName,meridian,repeat,threshold,numTrialsSent,questSD,readingCQAccuracy
5f0788c06b220f03231666a0,crowding_R8_block1,crowding,R8,1,1.1065131817787752,36.0,0.065507517,
5f0788c06b220f03231666a0,crowding_L8_block1,crowding,L8,1,1.5109012134725384,36.0,0.050215867,
5f0788c06b220f03231666a0,crowding_R8_block2,crowding,R8,2,0.746882988889428,36.0,0.051140758,
5f0788c06b220f03231666a0,crowding_L8_block2,crowding,L8,2,1.9483208133752348,37.0,0.058715724,
5f0788c06b220f03231666a0,acuity_R8_block1,acuity,R8,1,0.3371922272686246,36.0,0.048382129,
5f0788c06b220f03231666a0,acuity_L8_block1,acuity,L8,1,0.33278426008957374,35.0,0.049844932,
64837ba51422d817b62cc5cc,crowding_R8_block1,crowding,R8,1,2.5595385088703955,38.0,0.047698262,
64837ba51422d817b62cc5cc,crowding_L8_block1,crowding,L8,1,1.9129049677033303,36.0,0.065209033,
64837ba51422d817b62cc5cc,crowding_R8_block2,crowding,R8,2,1.9893404573618019,15.0,0.101424246,
64837ba51422d817b62cc5cc,crowding_L8_block2,crowding,L8,2,2.280386151899005,17.0,0.082947674,
64837ba51422d817b62cc5cc,acuity_R8_block1,acuity,R8,1,0.3476580028505353,20.0,0.075875725,
64837ba51422d817b62cc5cc,acuity_L8_block1,acuity,L8,1,0.3071552260771,16.0,0.088471469,
6778842e3f7e2e62756f7178,crowding_R8_block1,crowding,R8,1,2.489716130239711,36.0,0.066182313,
6778842e3f7e2e62756f7178,crowding_L8_block1,crowding,L8,1,3.0843240053200227,36.0,0.048984734,
6778842e3f7e2e62756f7178,crowding_R8_block2,crowding,R8,2,1.8321406222238525,37.0,0.057678266,
6778842e3f7e2e62756f7178,crowding_L8_block2,crowding,L8,2,2.3594637588161853,36.0,0.048653935,
6778842e3f7e2e62756f7178,acuity_R8_block1,acuity,R8,1,0.5099166653175672,35.0,0.049994148,
6778842e3f7e2e62756f7178,acuity_L8_block1,acuity,L8,1,0.3659165141165512,36.0,0.047824222,
5e57d38b533eec1818078f0b,crowding_R8_block1,crowding,R8,1,3.301008145592803,36.0,0.048975336,
5e57d38b533eec1818078f0b,crowding_L8_block1,crowding,L8,1,3.195550822342395,36.0,0.047106764,
5e57d38b533eec1818078f0b,crowding_R8_block2,crowding,R8,2,3.2539692834269687,36.0,0.047961417,
5e57d38b533eec1818078f0b,crowding_L8_block2,crowding,L8,2,2.5262541036943422,37.0,0.058265543,
5e57d38b533eec1818078f0b,acuity_R8_block1,acuity,R8,1,0.31626293501463676,36.0,0.04981686,
5e57d38b533eec1818078f0b,acuity_L8_block1,acuity,L8,1,0.3409144573591603,36.0,0.048931626,
6501b789e3ddbc0a0b79b925,crowding_R8_block1,crowding,R8,1,2.217363564668288,36.0,0.048397104,
6501b789e3ddbc0a0b79b925,crowding_L8_block1,crowding,L8,1,3.30735689566417,37.0,0.050371839,
6501b789e3ddbc0a0b79b925,crowding_R8_block2,crowding,R8,2,1.164031727905883,36.0,0.048196898,
6501b789e3ddbc0a0b79b925,crowding_L8_block2,crowding,L8,2,1.2360150304954465,37.0,0.048193603,
6501b789e3ddbc0a0b79b925,acuity_R8_block1,acuity,R8,1,0.41582340083994285,36.0,0.053157622,
6501b789e3ddbc0a0b79b925,acuity_L8_block1,acuity,L8,1,0.36735970023642334,36.0,0.055119147,
5cb206ee3d6647001724d5af,crowding_R8_block1,crowding,R8,1,1.854495966150338,36.0,0.050127295,
5cb206ee3d6647001724d5af,crowding_L8_block1,crowding,L8,1,2.7878167363414628,36.0,0.051913173,
5cb206ee3d6647001724d5af,crowding_R8_block2,crowding,R8,2,1.0089385289062889,36.0,0.051678581,
5cb206ee3d6647001724d5af,crowding_L8_block2,crowding,L8,2,1.0026413097955023,36.0,0.04753266,
5cb206ee3d6647001724d5af,acuity_R8_block1,acuity,R8,1,0.31134131041558005,36.0,0.049153297,
5cb206ee3d6647001724d5af,acuity_L8_block1,acuity,L8,1,0.29267856700477696,36.0,0.069513425,
63174af7d57182f9bf90c094,crowding_R8_block1,crowding,R8,1,4.261394382093115,36.0,0.057636084,
63174af7d57182f9bf90c094,crowding_L8_block1,crowding,L8,1,4.537464445202362,36.0,0.051254849,
63174af7d57182f9bf90c094,crowding_R8_block2,crowding,R8,2,1.6446120916882998,36.0,0.049135581,
63174af7d57182f9bf90c094,crowding_L8_block2,crowding,L8,2,4.626851639250084,37.0,0.064952098,
