prolificID,conditionName,taskName,meridian,repeat,threshold,numTrialsSent,questSD,readingCQAccuracy
5f0788c06b220f03231666a0,crowding_R8_block1,crowding,R8,1,0.180382378,36.0,0.065507517,
5f0788c06b220f03231666a0,crowding_L8_block1,crowding,L8,1,0.157681505,36.0,0.050215867,
5f0788c06b220f03231666a0,crowding_R8_block2,crowding,R8,2,-0.156210959,36.0,0.051140758,
5f0788c06b220f03231666a0,crowding_L8_block2,crowding,L8,2,0.498513688,37.0,0.058715724,
5f0788c06b220f03231666a0,acuity_R8_block1,acuity,R8,1,-0.368248518,36.0,0.048382129,
5f0788c06b220f03231666a0,acuity_L8_block1,acuity,L8,1,-0.507387938,35.0,0.049844932,
64837ba51422d817b62cc5cc,crowding_R8_block1,crowding,R8,1,0.640379606,38.0,0.047698262,
64837ba51422d817b62cc5cc,crowding_L8_block1,crowding,L8,1,0.009523903,36.0,0.065209033,
64837ba51422d817b62cc5cc,crowding_R8_block2,crowding,R8,2,0.316357686,15.0,0.101424246,
64837ba51422d817b62cc5cc,crowding_L8_block2,crowding,L8,2,0.363663659,17.0,0.082947674,
64837ba51422d817b62cc5cc,acuity_R8_block1,acuity,R8,1,-0.526542386,20.0,0.075875725,
64837ba51422d817b62cc5cc,acuity_L8_block1,acuity,L8,1,-0.5646774,16.0,0.088471469,
6778842e3f7e2e62756f7178,crowding_R8_block1,crowding,R8,1,0.689192824,36.0,0.066182313,
6778842e3f7e2e62756f7178,crowding_L8_block1,crowding,L8,1,0.513067657,36.0,0.048984734,
6778842e3f7e2e62756f7178,crowding_R8_block2,crowding,R8,2,0.07922885,37.0,0.057678266,
6778842e3f7e2e62756f7178,crowding_L8_block2,crowding,L8,2,0.255161544,36.0,0.048653935,
6778842e3f7e2e62756f7178,acuity_R8_block1,acuity,R8,1,-0.292122122,35.0,0.049994148,
6778842e3f7e2e62756f7178,acuity_L8_block1,acuity,L8,1,-0.348369323,36.0,0.047824222,
5e57d38b533eec1818078f0b,crowding_R8_block1,crowding,R8,1,0.605371838,36.0,0.048975336,
